restaurant_url,Business Name,Review Rating,Number of Reviews,Food Type,Operational Hours
https://www.yelp.com/biz/torchys-tacos-fayetteville-2,,,,,
https://www.yelp.com/biz/charlies-bakery-anchorage,,,,,
https://www.yelp.com/biz/haute-quarter-grill-anchorage,Haute Quarter Grill,4.4,253 reviews,(253 reviews),4.4
https://www.yelp.com/biz/club-paris-anchorage,Club Paris,4.1,485 reviews,(485 reviews),4.1
https://www.yelp.com/biz/f-street-station-anchorage,F Street Station,3.9,809 reviews,(809 reviews),3.9
https://www.yelp.com/biz/great-harvest-bread-anchorage-anchorage,Great Harvest Bread - Anchorage,4.4,305 reviews,(305 reviews),4.4
https://www.yelp.com/biz/anchorage-museum-anchorage-2,Anchorage Museum,4.4,246 reviews,(246 reviews),4.4
https://www.yelp.com/biz/ginger-anchorage,Ginger,4,544 reviews,(544 reviews),4
https://www.yelp.com/biz/tommys-burger-stop-anchorage,Tommy's Burger Stop,4.5,651 reviews,(651 reviews),4.5
https://www.yelp.com/biz/orso-anchorage,Orso,3.9,543 reviews,(543 reviews),3.9
https://www.yelp.com/biz/pho-lena-anchorage,Pho Lena,4.1,363 reviews,(363 reviews),4.1
https://www.yelp.com/biz/pedros-mexican-grill-anchorage,,,,,
https://www.yelp.com/biz/napolis-pizza-anchorage,,,,,
https://www.yelp.com/biz/dami-anchorage,Dami,3.7,186 reviews,(186 reviews),3.7
https://www.yelp.com/biz/pho-vietnam-anchorage,Pho Vietnam,3.7,168 reviews,(168 reviews),3.7
https://www.yelp.com/biz/bear-tooth-grill-anchorage-2,,,,,
https://www.yelp.com/biz/evas-cupcakery-anchorage,Eva's CupCakery,4,64 reviews,(64 reviews),4
https://www.yelp.com/biz/bombay-deluxe-indian-restaurant-anchorage-2,,,,,
https://www.yelp.com/biz/twin-dragon-mongolian-bar-b-q-anchorage,Twin Dragon Mongolian Bar-B-Q,3.7,130 reviews,(130 reviews),3.7
https://www.yelp.com/biz/fletchers-anchorage,Fletcher's,3.9,176 reviews,(176 reviews),3.9
https://www.yelp.com/biz/serranos-mexican-grill-anchorage-3,Serrano's Mexican Grill,3.7,131 reviews,(131 reviews),3.7
https://www.yelp.com/biz/mythai-downtown-restaurant-anchorage,myThai Downtown Restaurant,4,131 reviews,(131 reviews),4
https://www.yelp.com/biz/sushi-ya-anchorage,Sushi Ya,3.7,208 reviews,(208 reviews),3.7
https://www.yelp.com/biz/tempura-express-anchorage,Tempura Express,3.8,90 reviews,(90 reviews),3.8
https://www.yelp.com/biz/zorbas-gyros-anchorage,Zorba's Gyros,4.4,88 reviews,(88 reviews),4.4
https://www.yelp.com/biz/matanuska-brewing-midtown-anchorage-anchorage,Matanuska Brewing - Midtown Anchorage,3.3,251 reviews,(251 reviews),3.3
https://www.yelp.com/biz/alaskas-gourmet-subs-anchorage,Alaska's Gourmet Subs,4.1,96 reviews,(96 reviews),4.1
